Name of Grid Station,Solar Potential (MWh),Wind Potential (MWh)
Nur Pur Sethi,16995,330
Nur Pur Sethi,11175,330
Nur Pur Sethi,12112.5,330
Nur Pur Sethi,7500,277.5
Nur Pur Sethi,0,277.5
Pinanwal,600,240
Pinanwal,11962.5,240
Pinanwal,15412.5,420
Pinanwal,11850,420
Talagang,7462.5,412.5
Talagang,10537.5,967.5
Talagang,10762.5,967.5
Talagang,12637.5,967.5
Talagang,6787.5,967.5
Talagang,8737.5,967.5
Talagang,13312.5,967.5
Talagang,3937.5,967.5
Talagang,7237.5,967.5
Bhagwal,9150,480
Bhagwal,6375,480
Bhagwal,11737.5,480
Bhagwal,6450,180
Basal,6525,503.25
Basal,8625,503.25
Basal,9675,503.25
Basal,3825,503.25
Ahmedal,12187.5,402
Ahmedal,10282.5,402
Ahmedal,31132.5,402
Ahmedal,8662.5,402
Pindigheb,8737.5,246
Pindigheb,5437.5,246
Pindigheb,300,246
Pindigheb,10987.5,502.5
Pindigheb,8100,502.5
Chaint,2550,86.25
Chaint,8550,86.25
Chaint,6337.5,86.25
Murree,6900,720
Murree,6525,720
Murree,4200,720
Murree,8475,720
Murree,2565,720
Murree,4425,720
Murree,0,720
Murree,8625,720
Murree,10237.5,720
Murree,2700,720
Murree,0,720
Murree,450,720
Murree,6787.5,322.5
Murree,18825,322.5
Murree,0,322.5
Murree,15720,322.5
B.Gowa,9757.5,476.25
B.Gowa,3645,476.25
B.Gowa,8100,476.25
B.Gowa,13680,195
Pindigheb,5550,502.5
